# source_id=TRIBUNAL-SYNTHETIC-JUSTICE-SEMANTIC-PROGRAM
# evidence_label=synthetic_aggregate_semantic_program
# boundary=illustrative aggregate mechanics only; not a justice decision, risk score, observed bill effect, savings, policy selection, or rate authority
metric	value
baseline_pending	18155
stress_pending	22000
recovery_pending	17000
matters_filed	100000
matters_screened	92000
counsel_ready	80000
rights_compliant_resolution	65000
durable_resolution	60000
direct_cost_thousand_dollars	111000
appropriated_cost_thousand_dollars	283000
transition_security_cost_thousand_dollars	60000
status_quo_pending_change	3213
status_quo_rights_pass	0
status_quo_cost_thousand_dollars	0
judgeship_pending_change	1000
judgeship_rights_pass	1
judgeship_cost_thousand_dollars	394000
service_capacity_pending_change	500
service_capacity_rights_pass	1
service_capacity_cost_thousand_dollars	250000
accused_incidence_points	-40
victim_incidence_points	-15
counsel_incidence_points	-15
court_worker_incidence_points	-10
taxpayer_incidence_points	80
delivery_owner_named	1
delivery_enacted	0
delivery_appropriated	0
delivery_appointments_ready	0
delivery_staffing_ready	0
delivery_facilities_security_ready	0
delivery_milestones_ready	1
delivery_measures_ready	1
delivery_rights_ready	1
delivery_rollback_ready	1
observed_pending_change	3213
adaptive_trigger_pending_change	1000
current_version	1
current_disposition_days	600
comparison_disposition_days	365
comparison_same_definition	1
